AStd,AAlt,BStd,BAlt
5.86,5.82,0.0,0.0
5.63,5.52,0.38,0.38
8.48,6.78,3.64,3.66
17.62,10.65,6.73,6.7
31.64,14.09,9.63,9.32
55.65,19.31,13.91,13.44
75.91,26.05,21.36,28.04
84.66,29.09,31.74,37.89
89.79,28.29,37.88,43.42
94.03,30.12,45.03,49.37
95.89,30.45,48.59,53.98
98.15,28.63,53.32,55.78
99.48,28.99,56.61,57.98
100.27,30.73,59.87,59.82
101.01,33.01,62.17,63.6
101.86,33.34,64.26,65.6
102.36,32.16,66.41,67.25
102.59,32.53,67.79,68.61
102.65,32.7,69.5,68.87
102.69,31.89,71.08,69.23
102.72,31.64,72.68,69.1
102.84,32.29,74.01,68.84
102.88,32.67,75.2,70.74
102.97,32.37,76.14,70.77
103.01,33.0,77.28,72.14
103.07,32.61,77.97,72.25
103.13,33.83,78.97,72.93
103.17,33.71,80.37,73.46
103.18,33.72,81.2,75.09
103.23,33.8,82.14,75.5
103.24,33.54,83.04,76.18
103.27,33.9,83.34,76.63
103.3,34.38,83.91,76.6
103.31,35.01,84.94,75.71
103.35,34.06,85.81,76.14
103.38,34.33,86.18,77.29
103.39,34.74,87.02,77.12
103.42,35.07,87.68,76.81
103.43,35.15,88.86,76.13
103.46,35.11,89.65,75.66
103.5,34.44,89.96,76.02
103.53,34.23,89.99,75.42
103.56,34.33,90.59,75.93
103.57,34.77,91.24,74.97
103.57,34.81,91.4,75.2
103.62,35.36,91.77,74.46
103.64,34.99,92.02,73.92
103.67,34.29,92.46,74.27
103.7,35.17,92.77,73.6
103.71,35.32,92.95,74.08
103.75,35.01,93.11,73.81
103.8,35.08,93.49,73.78
103.8,35.12,93.59,73.51
103.85,35.02,93.74,73.41
103.88,35.51,94.09,73.46
103.89,35.2,94.36,73.92
103.92,35.43,94.63,74.26
103.96,35.2,94.63,74.26
103.96,35.33,94.67,74.65
103.97,35.57,94.91,75.26
104.0,35.51,95.0,75.52
104.02,35.57,95.06,75.33
104.03,35.38,95.18,74.93
104.04,35.37,95.2,75.05
104.06,34.91,95.27,75.26
104.08,34.56,95.31,75.26
104.09,35.03,95.47,75.31
104.12,34.37,95.49,74.76
104.12,34.36,95.52,74.83
104.14,34.38,95.91,74.96
104.17,34.62,95.93,74.03
104.17,34.51,96.08,73.68
104.19,34.26,96.09,73.59
104.21,34.47,96.09,73.59
104.21,34.47,96.25,74.08
104.22,34.42,96.34,73.67
104.23,34.5,96.42,73.84
104.26,34.54,96.53,73.82
104.27,34.97,96.77,73.8
104.28,34.53,96.77,73.8
104.28,34.53,96.78,73.78
104.3,34.71,96.94,73.18
104.3,34.71,96.96,73.14
104.3,34.68,97.12,72.85
104.31,35.1,97.13,72.98
104.32,35.08,97.21,74.04
104.32,35.08,97.31,73.94
104.32,35.37,97.4,73.85
104.33,35.83,97.47,73.98
