A0,A10,A20,A30,A40,A50,A60,A70,A80,A90,A100,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,round
,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,20
5.67,6.11,6.3,6.43,6.67,9.45,12.24,18.48,23.82,49.06,101.54,3.6,5.29,5.8,5.95,5.96,6.12,6.22,6.32,6.49,9.25,19.77,30
5.92,6.95,12.16,16.23,21.17,27.44,35.35,41.86,48.29,59.87,101.79,5.7,6.23,6.33,6.49,6.93,8.21,8.88,10.22,11.35,13.84,38.74,40
6.64,29.43,40.13,43.46,48.13,52.63,60.64,66.44,73.71,86.93,101.9,6.32,7.61,8.77,9.24,10.67,11.18,11.53,12.36,14.51,32.28,47.77,50
26.46,49.64,57.43,63.35,70.87,76.42,82.66,90.72,100.83,101.45,103.46,6.88,9.65,11.06,11.29,11.67,12.4,14.47,27.16,36.24,46.79,100.63,60
26.46,62.23,69.56,73.88,82.44,89.41,94.09,101.0,101.27,101.82,103.46,8.4,11.22,11.71,13.03,24.35,33.24,38.26,43.93,49.12,54.82,100.63,70
48.12,64.7,74.15,84.9,91.11,99.42,101.1,101.37,101.66,102.02,103.46,8.64,11.67,14.4,30.4,32.89,38.84,46.27,49.55,53.01,60.57,100.63,80
57.43,73.39,87.15,93.32,100.6,101.11,101.37,101.62,101.9,102.23,104.64,8.87,23.53,33.18,37.97,42.5,46.51,50.55,52.66,55.51,60.79,100.63,90
57.43,78.11,90.65,99.42,101.06,101.37,101.61,101.9,102.12,102.8,105.15,12.19,32.42,36.95,41.35,45.53,48.34,51.84,54.82,58.41,62.8,100.63,100
62.17,85.59,99.34,101.06,101.41,101.54,101.8,102.11,102.29,102.98,105.15,12.19,37.5,42.49,45.97,50.55,52.3,55.28,58.32,61.66,70.39,100.63,110
62.5,96.29,101.01,101.37,101.54,101.77,102.02,102.22,102.52,103.06,106.29,12.22,39.29,45.85,49.48,51.84,54.73,58.41,61.66,66.59,78.8,101.4,120
62.5,98.09,101.11,101.44,101.65,101.83,102.08,102.36,102.92,103.3,106.29,12.54,44.0,49.48,51.56,54.15,57.5,61.22,65.53,70.93,84.21,101.4,130
62.5,100.7,101.36,101.61,101.83,102.03,102.23,102.53,102.97,103.31,106.29,12.54,46.49,50.75,51.91,56.17,59.04,62.54,66.81,73.64,88.03,101.86,140
86.61,101.06,101.47,101.79,101.96,102.16,102.44,102.68,102.98,103.42,106.29,12.54,49.66,51.92,54.73,57.53,61.22,64.35,69.7,76.08,90.4,101.86,150
